11.0,2.0,1.0,93.0,1019.0,15.0,3.6,0.0,1.0307806E7
16.0,1.0,-20.0,20.0,1024.0,8.0,21.6,0.0,8917960.0
16.0,3.0,-7.0,48.0,1031.0,3.0,3.6,0.0,1.0661438E7
7.0,2.0,1.0,93.0,1028.0,4.0,7.2,0.0,1.212403E7
9.0,7.0,4.0,81.0,1020.0,10.0,3.6,2.0,1.2386072E7
15.0,15.0,10.0,72.0,1010.0,3.0,7.2,0.0,1.2782494E7
12.0,16.0,6.0,52.0,1011.0,6.0,10.8,6.0,1.261188E7
13.0,15.0,-2.0,31.0,1010.0,1.0,10.8,0.0,1.3460134E7
6.0,12.0,-8.0,24.0,1025.0,8.0,7.2,0.0,1.445127E7
9.0,18.0,10.0,59.0,1009.0,7.0,7.2,0.0,1.515958E7
1.0,19.0,15.0,78.0,1014.0,7.0,7.2,0.0,1.3537342E7
2.0,16.0,16.0,100.0,1015.0,3.0,3.6,2.0,1.5374822E7
12.0,20.0,10.0,52.0,1008.0,3.0,3.6,0.0,1.653626E7
15.0,25.0,18.0,65.0,1009.0,15.0,7.2,12.0,1.762625E7
10.0,23.0,18.0,73.0,1006.0,2.0,7.2,0.0,1.7515374E7
1.0,18.0,18.0,100.0,1010.0,15.0,7.2,14.0,1.8101608E7
10.0,23.0,16.0,65.0,1010.0,2.0,7.2,0.0,2.2266754E7
8.0,21.0,21.0,100.0,1004.0,11.0,3.6,14.0,2.5179768E7
7.0,26.0,12.0,42.0,1006.0,0.0,10.8,0.0,2.625764E7
3.0,21.0,20.0,94.0,1008.0,16.0,7.2,0.0,2.7694202E7
11.0,23.0,20.0,83.0,1006.0,3.0,7.2,12.0,2.8265402E7
13.0,22.0,22.0,100.0,1007.0,17.0,0.0,13.0,2.741699E7
3.0,25.0,25.0,100.0,1002.0,17.0,0.0,0.0,2.6657064E7
16.0,27.0,21.0,70.0,1008.0,3.0,7.2,0.0,2.8355638E7
15.0,26.0,13.0,44.0,1004.0,16.0,10.8,0.0,2.773449E7
1.0,23.0,21.0,88.0,1013.0,7.0,7.2,0.0,2.48318E7
13.0,27.0,22.0,74.0,1009.0,1.0,10.8,0.0,2.9854724E7
16.0,21.0,16.0,73.0,1012.0,3.0,3.6,0.0,2.9508178E7
16.0,21.0,20.0,94.0,1010.0,2.0,3.6,0.0,3.2781224E7
4.0,20.0,16.0,78.0,1016.0,2.0,3.6,1.0,3.3611668E7
2.0,17.0,14.0,82.0,1015.0,7.0,3.6,0.0,3.8065358E7
11.0,19.0,12.0,64.0,1021.0,11.0,7.2,0.0,4.5643734E7
11.0,12.0,11.0,94.0,1023.0,3.0,3.6,2.0,4.1948818E7
10.0,10.0,6.0,76.0,1028.0,4.0,7.2,0.0,4.819283E7
11.0,12.0,10.0,88.0,1017.0,4.0,3.6,3.0,4.5227392E7
11.0,10.0,7.0,82.0,1008.0,16.0,3.6,0.0,5.5288802E7
13.0,8.0,-11.0,25.0,1026.0,4.0,10.8,0.0,5.7551772E7
11.0,1.0,-5.0,65.0,1032.0,8.0,3.6,0.0,5.2503898E7
6.0,0.0,-6.0,64.0,1032.0,2.0,3.6,6.0,5.962807E7
4.0,0.0,-2.0,87.0,1029.0,17.0,0.0,2.0,6.1225192E7
